epoch,accuracy,loss,val_accuracy,val_loss
0,0.46277332305908203,1.2256852388381958,0.5533141493797302,1.1032146215438843
1,0.63935786485672,0.8867095708847046,0.5763688683509827,1.0401479005813599
2,0.7240520119667053,0.7015853524208069,0.5878962278366089,1.0716753005981445
3,0.7741488814353943,0.5883899331092834,0.5734870433807373,1.0805718898773193
4,0.8236922025680542,0.4695323705673218,0.5533141493797302,1.3474589586257935
5,0.8397453427314758,0.4078785181045532,0.579250693321228,1.3029028177261353
6,0.8975920081138611,0.29559463262557983,0.5619596838951111,1.347090244293213
7,0.9045115113258362,0.2707098722457886,0.5821325778961182,1.4460755586624146
8,0.9269305467605591,0.21322034299373627,0.5648415088653564,1.6661686897277832
9,0.9410462379455566,0.17820854485034943,0.5734870433807373,1.6042871475219727
10,0.9451978802680969,0.16875424981117249,0.5677233338356018,1.700385332107544
11,0.9440907835960388,0.16308332979679108,0.579250693321228,1.834582805633545
12,0.950179934501648,0.14221812784671783,0.5244956612586975,1.9339625835418701
13,0.9587600231170654,0.13273896276950836,0.5648415088653564,1.8856666088104248
14,0.9570993781089783,0.12627436220645905,0.5648415088653564,2.104501962661743
15,0.9568225741386414,0.12297525256872177,0.5504322648048401,1.974646806716919
16,0.9640188217163086,0.11368969082832336,0.5533141493797302,2.2390408515930176
17,0.9701079726219177,0.09563635289669037,0.5417867302894592,2.3117518424987793
18,0.972875714302063,0.08021605014801025,0.5533141493797302,2.2837471961975098
19,0.9717686176300049,0.08767262101173401,0.5734870433807373,2.2410504817962646
20,0.9712150692939758,0.08432427793741226,0.559077799320221,2.2903051376342773
21,0.9753667116165161,0.0840105265378952,0.5706051588058472,2.2462284564971924
22,0.9748131632804871,0.0686681941151619,0.5504322648048401,2.5427513122558594
23,0.977027416229248,0.06615197658538818,0.5561959743499756,2.3100974559783936
24,0.9778577089309692,0.06510116159915924,0.5504322648048401,2.507819175720215
