epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.3294514417648315,0.4149855971336365,1.2980412244796753
1,0.6529200077056885,0.9774802923202515,0.6570605039596558,0.9278546571731567
2,0.797121524810791,0.5726828575134277,0.6858789920806885,0.7719473242759705
3,0.843620240688324,0.41709598898887634,0.7031700015068054,0.7850050926208496
4,0.8804317712783813,0.33639073371887207,0.6829971075057983,0.85709547996521
5,0.9081096053123474,0.2736390233039856,0.680115282535553,0.8836377263069153
6,0.9233323931694031,0.22661131620407104,0.6743515729904175,0.9343109726905823
7,0.9385552406311035,0.19154100120067596,0.680115282535553,0.9676931500434875
8,0.9487960338592529,0.16435019671916962,0.6455331444740295,1.0449824333190918
9,0.9579296708106995,0.13814006745815277,0.6657060384750366,1.105670690536499
10,0.9659562706947327,0.12079575657844543,0.6599423885345459,1.1875287294387817
11,0.9665098190307617,0.1137944683432579,0.6685879230499268,1.1769297122955322
12,0.9725989699363708,0.09759734570980072,0.6599423885345459,1.297081470489502
13,0.9706615209579468,0.09420857578516006,0.6685879230499268,1.3111432790756226
14,0.971491813659668,0.08806464821100235,0.6685879230499268,1.3517727851867676
15,0.9739828109741211,0.07966833561658859,0.651296854019165,1.4297661781311035
16,0.974259614944458,0.07741189748048782,0.6743515729904175,1.4337372779846191
17,0.9745364189147949,0.0778956264257431,0.6541786789894104,1.4546959400177002
18,0.9761970639228821,0.06860481947660446,0.651296854019165,1.5020400285720825
19,0.9759202599525452,0.07213367521762848,0.6599423885345459,1.5356268882751465
20,0.9761970639228821,0.06830309331417084,0.6657060384750366,1.541965126991272
21,0.9789648652076721,0.06252758204936981,0.6599423885345459,1.626413345336914
22,0.977027416229248,0.06499897688627243,0.6570605039596558,1.621092677116394
23,0.9773041605949402,0.06255802512168884,0.6628242135047913,1.6487988233566284
24,0.9800719618797302,0.05579545348882675,0.6628242135047913,1.6721361875534058
